epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4775,1.10999,2.85457,1.55931,0.41993,0.3,0.20118,0.12324,1.41914,3.86139,1.65184,0.000175,0.000175,0.000175
2,19.2983,1.0261,1.8623,1.36631,0.32672,0.59306,0.33588,0.26812,1.0745,5.18691,1.43402,0.000358911,0.000358911,0.000358911
3,33.9726,1.10474,1.66429,1.39397,0.50473,0.6125,0.40939,0.22029,1.36113,5.25338,1.82435,0.00053911,0.00053911,0.00053911
4,42.5673,1.06348,1.59361,1.38401,0.37618,0.4125,0.25175,0.1562,1.568,6.89557,1.95628,0.000715596,0.000715596,0.000715596
5,51.6471,1.07476,1.57855,1.39013,0.53125,0.0625,0.02432,0.00869,2.39964,36.5774,3.34554,0.00088837,0.00088837,0.00088837
6,60.6788,1.09997,1.46521,1.41047,0.06223,0.425,0.11341,0.052,2.32062,52.3547,3.09605,0.00105743,0.00105743,0.00105743
7,69.752,1.10257,1.43821,1.38528,0.03553,0.1875,0.08156,0.04722,2.10301,15.9873,2.34496,0.00117575,0.00117575,0.00117575
8,78.7079,1.12996,1.55406,1.41613,0.18199,0.27128,0.20783,0.09765,1.4702,4.63629,1.79143,0.00116337,0.00116337,0.00116337
9,87.4285,1.14034,1.47254,1.42539,0.23661,0.81944,0.3165,0.16395,1.36449,3.23429,1.68537,0.001151,0.001151,0.001151
10,96.1631,1.08429,1.46879,1.38508,0.26604,0.62778,0.50905,0.39723,1.45934,3.56415,1.72465,0.00113863,0.00113863,0.00113863
11,105.569,1.05234,1.41863,1.37209,0.58811,0.4,0.46856,0.36899,1.64261,4.80365,1.89457,0.00112625,0.00112625,0.00112625
12,114.154,1.05928,1.41096,1.36483,0.25507,0.5625,0.40535,0.30189,1.28096,3.44349,1.5643,0.00111388,0.00111388,0.00111388
13,122.807,1.00901,1.40364,1.37339,0.60118,0.59306,0.47331,0.36998,1.14266,2.85529,1.48838,0.0011015,0.0011015,0.0011015
14,131.34,1.02878,1.2867,1.34268,0.3506,0.45556,0.3736,0.28089,1.21445,2.56829,1.51961,0.00108913,0.00108913,0.00108913
15,140.177,0.99161,1.27381,1.30433,0.44811,0.64306,0.46335,0.32761,1.07484,2.23538,1.37292,0.00107675,0.00107675,0.00107675
16,149.049,0.97812,1.23102,1.2955,0.75149,0.48815,0.58788,0.44677,1.01119,3.24646,1.26574,0.00106437,0.00106437,0.00106437
17,158.126,0.98199,1.21987,1.32016,0.39213,0.58056,0.44976,0.31785,1.24806,2.31905,1.60066,0.001052,0.001052,0.001052
18,167.005,1.02205,1.22393,1.32823,0.48658,0.51893,0.60359,0.47883,0.97958,1.54826,1.39738,0.00103962,0.00103962,0.00103962
19,176.129,0.92134,1.13339,1.27342,0.55963,0.65278,0.59009,0.47174,0.91464,2.06783,1.24422,0.00102725,0.00102725,0.00102725
20,184.794,0.94007,1.13933,1.27358,0.56376,0.63611,0.60509,0.49638,0.89524,1.58315,1.30921,0.00101488,0.00101488,0.00101488
21,200.184,0.86169,1.11229,1.24283,0.81817,0.64413,0.77337,0.52106,0.90261,1.35698,1.26164,0.0010025,0.0010025,0.0010025
22,209.328,0.8969,1.07111,1.24729,0.86032,0.61094,0.82265,0.56782,0.93044,1.54194,1.32667,0.000990125,0.000990125,0.000990125
23,218.709,0.88831,1.09503,1.2545,0.52801,0.71893,0.60585,0.47593,0.97593,1.82319,1.33542,0.00097775,0.00097775,0.00097775
24,227.616,0.8544,1.00698,1.21912,0.5314,0.7345,0.78314,0.64343,0.85492,1.32713,1.23071,0.000965375,0.000965375,0.000965375
25,241.603,0.84431,1.02101,1.22985,0.40651,0.47222,0.51895,0.41419,0.87096,1.64306,1.17898,0.000953,0.000953,0.000953
26,250.447,0.82841,0.99045,1.21023,0.42427,0.84624,0.5285,0.40726,0.8479,1.29717,1.17196,0.000940625,0.000940625,0.000940625
27,259.029,0.89252,1.03372,1.25106,0.79314,0.72876,0.80005,0.69399,0.74183,1.08403,1.12398,0.00092825,0.00092825,0.00092825
28,273.855,0.87297,1.02753,1.24015,0.36212,0.59805,0.53766,0.43853,0.77412,1.45268,1.12571,0.000915875,0.000915875,0.000915875
29,282.497,0.81899,0.95908,1.19187,0.61932,0.8069,0.67088,0.54303,0.86348,1.2392,1.14543,0.0009035,0.0009035,0.0009035
30,291.444,0.82829,0.95536,1.21241,0.67662,0.69727,0.70992,0.54361,0.77387,1.51755,1.07064,0.000891125,0.000891125,0.000891125
31,300.441,0.79762,0.9166,1.18608,0.7539,0.67031,0.71782,0.58421,0.71668,1.23056,1.08141,0.00087875,0.00087875,0.00087875
32,309.436,0.78594,0.90611,1.19309,0.82448,0.70439,0.73409,0.59549,0.79894,1.27589,1.1257,0.000866375,0.000866375,0.000866375
33,318.384,0.80035,0.95833,1.20147,0.69594,0.80992,0.74407,0.60615,0.74955,1.06088,1.14809,0.000854,0.000854,0.000854
34,327.113,0.83154,0.93618,1.21576,0.7654,0.71203,0.73641,0.60932,0.72921,1.19303,1.07222,0.000841625,0.000841625,0.000841625
35,335.822,0.82069,0.94418,1.21142,0.61762,0.70302,0.70699,0.59348,0.74373,1.13903,1.08951,0.00082925,0.00082925,0.00082925
36,344.71,0.76043,0.88007,1.17349,0.75957,0.61781,0.63954,0.52728,0.73318,1.31129,1.09268,0.000816875,0.000816875,0.000816875
37,353.4,0.76196,0.86067,1.16344,0.59779,0.71307,0.69008,0.56803,0.81336,1.38924,1.11826,0.0008045,0.0008045,0.0008045
38,362.351,0.74943,0.8176,1.1533,0.56249,0.74077,0.68733,0.55396,0.87696,1.25376,1.19179,0.000792125,0.000792125,0.000792125
39,370.96,0.74863,0.83351,1.15566,0.61589,0.62178,0.67099,0.56348,0.83968,1.37205,1.16544,0.00077975,0.00077975,0.00077975
40,379.898,0.71426,0.81849,1.13644,0.77572,0.71891,0.79111,0.66802,0.8316,1.2079,1.13311,0.000767375,0.000767375,0.000767375
41,388.755,0.73694,0.79805,1.14134,0.63253,0.80694,0.81827,0.68182,0.77082,1.05809,1.1228,0.000755,0.000755,0.000755
42,397.47,0.75663,0.80967,1.16657,0.56911,0.75139,0.72475,0.60642,0.81492,1.59489,1.1774,0.000742625,0.000742625,0.000742625
43,406.575,0.74626,0.82115,1.16698,0.3745,0.75392,0.56541,0.4764,0.78827,1.5697,1.10094,0.00073025,0.00073025,0.00073025
44,415.362,0.71788,0.78539,1.14286,0.6772,0.72606,0.65687,0.57252,0.69259,1.33885,1.04557,0.000717875,0.000717875,0.000717875
45,423.933,0.70927,0.81463,1.14466,0.66465,0.74125,0.70625,0.59726,0.64074,1.24042,1.02118,0.0007055,0.0007055,0.0007055
46,432.926,0.70195,0.7891,1.12717,0.62387,0.74448,0.69089,0.58724,0.6675,1.209,1.02917,0.000693125,0.000693125,0.000693125
47,441.698,0.69841,0.74494,1.12376,0.53464,0.79256,0.71964,0.61402,0.7362,1.43071,1.08632,0.00068075,0.00068075,0.00068075
48,450.378,0.67971,0.70178,1.0926,0.85575,0.75417,0.86032,0.7338,0.70269,0.89,1.06507,0.000668375,0.000668375,0.000668375
49,459.641,0.71801,0.7175,1.13541,0.8309,0.77518,0.9334,0.77301,0.66979,0.83998,1.07106,0.000656,0.000656,0.000656
50,472.479,0.68604,0.71561,1.11569,0.78883,0.63078,0.66279,0.57874,0.73787,1.31817,1.10212,0.000643625,0.000643625,0.000643625
51,481.393,0.71554,0.76999,1.14211,0.72075,0.66578,0.69925,0.59562,0.71956,1.26311,1.06697,0.00063125,0.00063125,0.00063125
52,490.29,0.65136,0.67777,1.08766,0.72126,0.60556,0.69067,0.59017,0.67346,1.09554,1.03245,0.000618875,0.000618875,0.000618875
53,499.253,0.68266,0.71885,1.11235,0.61469,0.60833,0.6375,0.55064,0.64148,1.14516,1.04742,0.0006065,0.0006065,0.0006065
54,508.183,0.67201,0.70886,1.10146,0.59597,0.70865,0.6364,0.56684,0.65143,1.13177,1.03595,0.000594125,0.000594125,0.000594125
55,516.995,0.6696,0.71747,1.09533,0.51943,0.79109,0.63273,0.56106,0.64201,1.21622,1.00199,0.00058175,0.00058175,0.00058175
56,525.626,0.64661,0.71185,1.10485,0.64614,0.80253,0.66001,0.55898,0.70098,1.17732,1.03381,0.000569375,0.000569375,0.000569375
57,534.445,0.64359,0.68782,1.09261,0.61097,0.74866,0.76854,0.66792,0.65572,1.28202,1.02615,0.000557,0.000557,0.000557
58,543.248,0.65604,0.69069,1.10956,0.72089,0.7512,0.70177,0.5938,0.64056,1.06105,1.07256,0.000544625,0.000544625,0.000544625
59,552.014,0.62212,0.62113,1.07665,0.60909,0.84444,0.81497,0.67718,0.62721,0.99822,1.08721,0.00053225,0.00053225,0.00053225
60,560.923,0.66244,0.6568,1.11864,0.80447,0.68229,0.85204,0.73715,0.66855,1.08606,1.069,0.000519875,0.000519875,0.000519875
